cooling	deck	dishwasher	heating	last sold	laundry	num_rooms	refridg	num_stories	parking	porch	school_score	listing-type	price	zestimate	doz	property-address	bed	bath	area	year	lotsize	broker	property-link	security	TransitScore	WalkScore
											8.666666667	House For Sale	204605	137000		"920 Valley Cir, Leeds, AL35094"	3	2	1735			Realty South	http://www.zillow.com/homedetails/920-Valley-Cir-Leeds-AL-35094/2104338091_zpid/		0	0
		1		1							9.333333333	House For Sale	185000	195000		"1838 Clayton Cove Dr NW, Madison, AL35757"	4	3	2948		11761.2	"Davenport Agents, LLC"	http://www.zillow.com/homedetails/1838-Clayton-Cove-Dr-NW-Madison-AL-35757/120920578_zpid/		0	17
		1			1	8		0	2	1	7	House For Sale	314900	216000		"148 County Road 747, Enterprise, AL36330"	4		2584	2010	87120	"Hometown Realty, LLC"	http://www.zillow.com/homedetails/148-County-Road-747-Enterprise-AL-36330/2124602905_zpid/	1	0	0
1		1	1		1	8			0		7	House For Sale	192500	155000		"22373 Southern Breeze, Athens, AL35613"	3	3	2713	2004	21780	Amanda Howard Real Estate	http://www.zillow.com/homedetails/22373-Southern-Breeze-Athens-AL-35613/2132320973_zpid/	1	0	0
	1	1	1							1	6	House For Sale	174900			"240 Lynn Dr, Columbiana, AL35051"	3			1986		"Columbiana - WEICHERT, REALTORS  Lowe Realty"	http://www.zillow.com/homedetails/240-Lynn-Dr-Columbiana-AL-35051/2104339674_zpid/		0	0
								0			2.666666667	Foreclosure	114900	125000		"1303 Still Waters Dr, Dadeville, AL36853"	3	2	1464	1973	27007.2		http://www.zillow.com/homedetails/1303-Still-Waters-Dr-Dadeville-AL-36853/104555957_zpid/		0	0
												For Sale by Owner	155500	104000		"9344 Lee Road 175, Salem, AL36874"	3	2	1417	2004	60548.4		http://www.zillow.com/homedetails/9344-Lee-Road-175-Salem-AL-36874/2104340120_zpid/		0	0
1	1	1	1	1		9		0	0		10	House For Sale	559900	500000		"721 Park Ridge Cir, Vestavia, AL35242"	5	5	3170	1997	24393.6	LIST Birmingham	http://www.zillow.com/homedetails/721-Park-Ridge-Cir-Vestavia-AL-35242/974470_zpid/		0	1
				1				0			6.666666667	Foreclosure	90000	150000		"1217 Morning Star Ln, Alabaster, AL35007"	3		1476	1981	15246	Re/Max Realty Brokers	http://www.zillow.com/homedetails/1217-Morning-Star-Ln-Alabaster-AL-35007/202751_zpid/		0	17
1	1	1						0	2		6.666666667	House For Sale	439000	421000		"0 00, Crane Hill, AL35053"	4	4	3600	2002	43560	Lake Homes Realty	http://www.zillow.com/homedetails/0-00-Crane-Hill-AL-35053/2104343285_zpid/		0	0
				1				0	2		5	House For Sale	265275	244000		"3483 Woodward Dr, Mobile, AL36695"	4	3	2910	2012		Keller Williams Realty	http://www.zillow.com/homedetails/3483-Woodward-Dr-Mobile-AL-36695/119982643_zpid/		0	5
						6		0			5.333333333	Auction	from $10K			"2200 County Road 5, Florence, AL35633"	3		1316	1972	35719.2	Auction.com	http://www.zillow.com/homedetails/2200-County-Road-5-Florence-AL-35633/67106120_zpid/		0	0
											4.666666667	Home For Sale	47500	103000		"786 County Road 4, Columbia, AL36319"	3	2	1344	1989			http://www.zillow.com/homedetails/786-County-Road-4-Columbia-AL-36319/2104346649_zpid/		0	0
											9	Lot/Land For Sale	4500000			"2500 Richland Rd, Auburn, AL36832"						"Auburn - WEICHERT, REALTORS  - Porter Properties"	http://www.zillow.com/homedetails/2500-Richland-Rd-Auburn-AL-36832/2104346807_zpid/		0	0
						5		0			6.666666667	House For Sale	275000	109000		"7325 Pinewood Dr, Theodore, AL36582"	3	2	1431	2004	130680	RE/MAX By The Bay	http://www.zillow.com/homedetails/7325-Pinewood-Dr-Theodore-AL-36582/67746930_zpid/		0	14
				1				0			5.333333333	House For Sale	219900	225000		"25798 Lakeland Dr, Loxley, AL36551"	4	2	2698	2004	805	RE/MAX By The Bay	http://www.zillow.com/homedetails/25798-Lakeland-Dr-Loxley-AL-36551/72732856_zpid/		0	0
				1							8.333333333	Condo For Sale	195500	187000		"28835 Perdido Beach Blvd APT 217, Orange Beach, AL36561"	2	2		1983	99316.8		http://www.zillow.com/homedetails/28835-Perdido-Beach-Blvd-APT-217-Orange-Beach-AL-36561/84401846_zpid/		0	2
											7	Lot/Land For Sale	25000			"12 Queen Ann Cir, Summerdale, AL36580"						Inshore Realty LLC	http://www.zillow.com/homedetails/12-Queen-Ann-Cir-Summerdale-AL-36580/2104347489_zpid/		0	0
		1			1				1	1	6	House For Sale	97900	88000		"7331 Highway 79, Phil Campbell, AL35581"	3	1	1420	2011	435600	"Davis Realty & Assoc., Inc."	http://www.zillow.com/homedetails/7331-Highway-79-Phil-Campbell-AL-35581/2104348155_zpid/		0	3
1	1		1	1	1	5		0	1		2	House For Sale	29900	40000		"1400 E Audubon Rd, Montgomery, AL36111"	3	1	1548	1955	12632.4	REALTY CONNECTION	http://www.zillow.com/homedetails/1400-E-Audubon-Rd-Montgomery-AL-36111/120583485_zpid/		0	21
		1		1		8		0	6	1	8.333333333	House For Sale	384900	409000		"3286 Benyard Dr, Mobile, AL36619"	4		3278	1999		McDerment Realty	http://www.zillow.com/homedetails/3286-Benyard-Dr-Mobile-AL-36619/51048767_zpid/	1	0	0
		1				5		0	1		8	House For Sale	79900	78000		"411 1st Ave, Piedmont, AL36272"	3	2	2041	1962	21780	Wright Properties	http://www.zillow.com/homedetails/411-1st-Ave-Piedmont-AL-36272/109183811_zpid/		0	57
												House For Sale	179900	172000		"891 Valley Cir, Leeds, AL35242"	3	2	1645			Realty South	http://www.zillow.com/homedetails/891-Valley-Cir-Leeds-AL-35242/2104358203_zpid/		0	45
				1				0	4		8.666666667	House For Sale	1200000	921000		"272 Highland View Dr, Birmingham, AL35242"	5		7000	2003	55321.2	Living on Lake Martin	http://www.zillow.com/homedetails/272-Highland-View-Dr-Birmingham-AL-35242/50891487_zpid/		0	1
				1		4		0			10	House For Sale	95000	90000		"2637 Southbury Cir, Vestavia, AL35216"	2		1200	1970		Realty South	http://www.zillow.com/homedetails/2637-Southbury-Cir-Vestavia-AL-35216/80745536_zpid/		0	27
		1						0			9	House For Sale	83900	90000		"162 Briargate Ln, Madison, AL35758"	2	2	1022	1987	"1,306"	"Rosenblum Realty, Inc."	http://www.zillow.com/homedetails/162-Briargate-Ln-Madison-AL-35758/92160476_zpid/		0	2
	1	1	1	1				0	1		9	House For Sale	299900	298000		"100 Emerald Ln, Madison, AL35758"	4	3	3266	1992	19166.4	Capstone Realty	http://www.zillow.com/homedetails/100-Emerald-Ln-Madison-AL-35758/92185475_zpid/		0	4
		1						0	0		7.333333333	House For Sale	199000	407000		"387 Dale Dr, Scottsboro, AL35769"	5	3	2422	2007	28749.6	Exit Realty of the Valley	http://www.zillow.com/homedetails/387-Dale-Dr-Scottsboro-AL-35769/120136249_zpid/		0	0
												House For Sale	119900	129000		"5455 Orchard St, Satsuma, AL36572"	3	2	1976	1970	14810.4		http://www.zillow.com/homedetails/5455-Orchard-St-Satsuma-AL-36572/50956580_zpid/		0	19
												Auction	from $14K			"193 Green Leaf Ln, Childersburg, AL35044"	3	2	1620	1995	67953.6	HomeSearch.com Realty Services Inc	http://www.zillow.com/homedetails/193-Green-Leaf-Ln-Childersburg-AL-35044/76056380_zpid/		0	0
				1		5		0			8.333333333	Foreclosure	121900	128000		"1085 Chateau Dr, Helena, AL35080"	3	2	1167	1978	21344.4	REALHome Services and Solutions	http://www.zillow.com/homedetails/1085-Chateau-Dr-Helena-AL-35080/203126_zpid/		0	23
								0			2.666666667	Foreclosure	127200	186000		"7044 Highway 49 S LOT 301, Dadeville, AL36853"	2	2		1998		REALHome Services and Solutions	http://www.zillow.com/homedetails/7044-Highway-49-S-LOT-301-Dadeville-AL-36853/104558255_zpid/		0	7
				1		8		0			8.666666667	Foreclosure	143100	176000		"5015 Mountain View Pkwy, Birmingham, AL35244"	3	2	1490	1977	21344.4	REALHome Services and Solutions	http://www.zillow.com/homedetails/5015-Mountain-View-Pkwy-Birmingham-AL-35244/188422_zpid/		0	30
												Foreclosure	122960	158000		"1411 Secretariat Dr, Helena, AL35080"	3		1521	1985	20037.6	REALHome Services and Solutions	http://www.zillow.com/homedetails/1411-Secretariat-Dr-Helena-AL-35080/199639_zpid/		0	12
				1		6		0			6.666666667	Foreclosure	124900	124000		"151 Warwick Cir, Alabaster, AL35007"	3	2	1368	1997	"6,098"		http://www.zillow.com/homedetails/151-Warwick-Cir-Alabaster-AL-35007/205550_zpid/		0	3
						4		0	0		5.666666667	Foreclosure	33900	53000		"212 E 28th St, Anniston, AL36201"	3	1		1940	"10,454"		http://www.zillow.com/homedetails/212-E-28th-St-Anniston-AL-36201/109468115_zpid/		0	43
											5.666666667	Condo For Sale	29900	435000		"Majestic Oaks Dr LOT 7, Stapleton, AL36578"							http://www.zillow.com/homedetails/Majestic-Oaks-Dr-LOT-7-Stapleton-AL-36578/2104361081_zpid/		0	12
1	1	1						0	2		6.333333333	House For Sale	379000	360000		"32 County Road 222, Crane Hill, AL35053"	3	2	1800	1987	43560	Lake Homes Realty	http://www.zillow.com/homedetails/32-County-Road-222-Crane-Hill-AL-35053/2104362073_zpid/		0	0
1	1	1						0	2		6	House For Sale	525000	490000		"143 Bent Oak Dr, Arley, AL35541"	5	4	3400	2006		Lake Homes Realty	http://www.zillow.com/homedetails/143-Bent-Oak-Dr-Arley-AL-35541/2104362071_zpid/		0	0
1	1	1						0	0		6	House For Sale	299900	306000		"80 Rock Shore Pt, Arley, AL35541"	3	3	2000	2006		Lake Homes Realty	http://www.zillow.com/homedetails/80-Rock-Shore-Pt-Arley-AL-35541/2104362070_zpid/		0	0
1	1	1	1	1		5		0	1		2.333333333	House For Sale	174900	160000		"692 Oakmoor Dr, Birmingham, AL35209"	3	1	1138	1957	"9,147"	LIST Birmingham	http://www.zillow.com/homedetails/692-Oakmoor-Dr-Birmingham-AL-35209/1011749_zpid/		23	32
1		1	1	1		6		0	1		3	Condo For Sale	167500	150000		"621 Idlewild Cir, Birmingham, AL35205"	3	3	1920	1981	"3,484"	RE/MAX Southern Homes	http://www.zillow.com/homedetails/621-Idlewild-Cir-Birmingham-AL-35205/1002055_zpid/		29	32
												House For Sale	149900	116000		"5556 Matt Aaron Ln, Birmingham, AL35215"	3	2	1565	2004	"9,147"	RE/MAX MarketPlace	http://www.zillow.com/homedetails/5556-Matt-Aaron-Ln-Birmingham-AL-35215/67717301_zpid/		0	21
												House For Sale	74900	73000		"1900 Boykin Blvd, Mobile, AL36605"	3		1560	1959		Buyers and Sellers Realty	http://www.zillow.com/homedetails/1900-Boykin-Blvd-Mobile-AL-36605/51033784_zpid/		0	20
				1				0			6.666666667	House For Sale	135000			"6739 Foxwood Dr, Theodore, AL36582"	4	2	1500	2010		Better Homes and Gardens Real Estate Generations	http://www.zillow.com/homedetails/6739-Foxwood-Dr-Theodore-AL-36582/99393566_zpid/		0	0
				1		5		0			7.666666667	Condo For Sale	119900	104000		"2820 Southwood Ln, Bessemer, AL35022"	2	2	1210	2006	"2,178"	RE/MAX Southern Homes	http://www.zillow.com/homedetails/2820-Southwood-Ln-Bessemer-AL-35022/80733804_zpid/		0	21
1			1					0			3.333333333	House For Sale	59950	51000		"208 Massee Dr, Dothan, AL36301"	2	1	1058		"10,890"	BHHS Showcase Properties	http://www.zillow.com/homedetails/208-Massee-Dr-Dothan-AL-36301/76017152_zpid/		0	28
				1		6		0	0		6	House For Sale	124924	178000		"23051 Wilson Rd, Loxley, AL36551"	3	3	1300	1968	217800	Shamrock Properties LLC	http://www.zillow.com/homedetails/23051-Wilson-Rd-Loxley-AL-36551/72733492_zpid/		0	0
				1		5		0	0		6.333333333	House For Sale	87500	105000		"117 S Elm St, Foley, AL36535"	3	2	1450	1970	16117.2	Coastal Real Estate and Development	http://www.zillow.com/homedetails/117-S-Elm-St-Foley-AL-36535/72756615_zpid/		0	16
				1				0			6.666666667	House For Sale	257000	262000		"12641 Natchez Trce, Grand Bay, AL36541"	4	3	2548	2011	18295.2	REAL LIVING NORMAN REALTY	http://www.zillow.com/homedetails/12641-Natchez-Trce-Grand-Bay-AL-36541/89832274_zpid/		0	0
											7.333333333	Home For Sale	184500	230000		"236 Milky Way Rd, Guntersville, AL35976"	4	2	1960	1996	148104	Lake Guntersville Real Estate	http://www.zillow.com/homedetails/236-Milky-Way-Rd-Guntersville-AL-35976/80741719_zpid/		0	0
1		1	1		1	4		0	1		2.333333333	Condo For Sale	236804	226000		"700 15th St UNIT 1308, Tuscaloosa, AL35401"	2	2	1122	2010		Advantage Realty	http://www.zillow.com/homedetails/700-15th-St-UNIT-1308-Tuscaloosa-AL-35401/109583300_zpid/	1	0	66
1	1	1	1						4		8.666666667	Apartment For Sale	124900	252000		"106 Carmine Cir, Madison, AL35758"					13068	Legend Realty	http://www.zillow.com/homedetails/106-Carmine-Cir-Madison-AL-35758/2104373623_zpid/		0	3
		1		1	1	5		0	2	1	7	House For Sale	131900	124000		"9399 Hunters Way Dr, Semmes, AL36575"	3	2	1384	2007		Jackson & Associates Real Estate	http://www.zillow.com/homedetails/9399-Hunters-Way-Dr-Semmes-AL-36575/67750992_zpid/		0	4
												House For Sale	159900	220000		"1909 Chase Dr, Saraland, AL36571"	3	2	2167	1975	16117.2	Jackson & Associates Real Estate	http://www.zillow.com/homedetails/1909-Chase-Dr-Saraland-AL-36571/50958100_zpid/		0	1
		1			1						7.333333333	House For Sale	235000	214000		"15276 Joseph Dr, Athens, AL35613"	4	3	2643		32670	Exit Realty of the Valley	http://www.zillow.com/homedetails/15276-Joseph-Dr-Athens-AL-35613/2104374113_zpid/		0	9
	1	1			1				0	1	4.666666667	House For Sale	599900	221000		"8800 County Road 73, Montevallo, AL35115"	3			2004	"2,568"	RealtySouth	http://www.zillow.com/homedetails/8800-County-Road-73-Montevallo-AL-35115/2104375408_zpid/		0	0
		1		1							4.333333333	House For Sale	150000	137000		"710 Willow Shoals Dr SW, Madison, AL35756"	3	2	1435	2011	"7,840"	"Matt Curtis Real Estate, Inc."	http://www.zillow.com/homedetails/710-Willow-Shoals-Dr-SW-Madison-AL-35756/102748793_zpid/		0	0
		1		1							4.333333333	House For Sale	239999	193000		"108 Walnut Cove Blvd SW, Huntsville, AL35824"	4	3	2525	2008	"8,141"	RE/MAX DISTINCTIVE	http://www.zillow.com/homedetails/108-Walnut-Cove-Blvd-SW-Huntsville-AL-35824/109259605_zpid/		0	5
						6		0			3.666666667	Auction	from $7K			"1859 Canal St, Mobile, AL36606"	3		1648	1985	"1,306"	HomeSearch.com Realty Services Inc	http://www.zillow.com/homedetails/1859-Canal-St-Mobile-AL-36606/51024529_zpid/		0	54
												House For Sale	169500	201000		"242 1st Ave N, Centreville, AL35042"	3	3	2075	1960	43560	ERA King	http://www.zillow.com/homedetails/242-1st-Ave-N-Centreville-AL-35042/111384778_zpid/		0	2
												House For Sale	719900	667000		"Address Not Disclosed, Birmingham, AL35213"	5	5		1930	12196.8	ERA King	http://www.zillow.com/homedetails/Address-Not-Disclosed-Birmingham-AL-35213/2104378125_zpid/		23	Not available
											5	Foreclosure	99900	159000		"1917 County Road 530, Verbena, AL36091"	3	2	1965	1966	43560		http://www.zillow.com/homedetails/1917-County-Road-530-Verbena-AL-36091/2116852874_zpid/		0	0
1			1	1		7		0	5	1	7.666666667	Foreclosure	399900	350000		"4448 Preserve Dr, Hoover, AL35226"	3	3	2307	2002	"5,662"	Homepath	http://www.zillow.com/homedetails/4448-Preserve-Dr-Hoover-AL-35226/62551463_zpid/		0	3
												Foreclosure	69900	71000		"819 Magnolia Dr, Sylacauga, AL35150"	3	2		1962	17424	Homepath	http://www.zillow.com/homedetails/819-Magnolia-Dr-Sylacauga-AL-35150/2104379595_zpid/		0	11
								0	4		5.666666667	House For Sale	1675000	733000		"443 Pine Pt, ECLECTIC, AL36024"	4		1472	2004	40075.2	Lake Martin Realty	http://www.zillow.com/homedetails/443-Pine-Pt-Eclectic-AL-36024/106898_zpid/		0	0
1	1	1	1		1	9		0		1	7	House For Sale	325000	301000		"1224 Al Highway 117, Mentone, AL35984"	3	3	2391	2004	163785.6	"Bellora Realtors, LLC"	http://www.zillow.com/homedetails/1224-Al-Highway-117-Mentone-AL-35984/2104380173_zpid/		0	0
	1	1		1	1	6		0			6	House For Sale	269900	212000		"188 County Road 832, Flat Rock, AL35966"	3	2	2450	1988		"BELLORA Realtors, LLC"	http://www.zillow.com/homedetails/188-County-Road-832-Flat-Rock-AL-35966/111763791_zpid/		0	0
				1							8.333333333	Condo For Sale	49900	56000		"200 E Beach Blvd #317, GULF SHORES, AL36542"		1		1975	30927.6	RE/MAX Of Orange Beach	http://www.zillow.com/homedetails/200-E-Beach-Blvd-317-Gulf-Shores-AL-36542/72780199_zpid/		0	28
											8.333333333	Condo For Sale	199900	169000		"427 E Beach Blvd # 168, Gulf Shores, AL36542"	2	2				RE/MAX Of Orange Beach	http://www.zillow.com/homedetails/427-E-Beach-Blvd-168-Gulf-Shores-AL-36542/2104380278_zpid/		0	20
				1		6		0			5.666666667	House For Sale	164900	170000		"2035 Hickory Ln, Fultondale, AL35068"	3	2	1578	2005	39204	RE/MAX Advantage South	http://www.zillow.com/homedetails/2035-Hickory-Ln-Fultondale-AL-35068/71015407_zpid/		0	7
											7	House For Sale	187900	170000		"132 Summit Blvd, Gardendale, AL35071"	3	2		2014		RE/MAX Northern Properties	http://www.zillow.com/homedetails/132-Summit-Blvd-Gardendale-AL-35071/2104380284_zpid/		0	57
						6		0	0	1	3.666666667	Foreclosure	70000	82000		"1405 Roderick Rd, Mobile, AL36618"	3	2	1891	1988			http://www.zillow.com/homedetails/1405-Roderick-Rd-Mobile-AL-36618/67741790_zpid/		0	13
1	1	1		1		6		0	0		3.666666667	House For Sale	127500	107000		"5115 Eastern Valley Rd, Mc Calla, AL35111"	3	2	1187	1953	43560	Keller Williams Realty Metro South	http://www.zillow.com/homedetails/5115-Eastern-Valley-Rd-Mc-Calla-AL-35111/1067822_zpid/		0	16
	1		1	1				0	1		6.666666667	Home For Sale	46900	87000		"455 Mountain Ter, Branchville, AL35120"	3	2	1792	2007	153331.2	"Premier Trussville, LLC dba Keller Williams Realty"	http://www.zillow.com/homedetails/455-Mountain-Ter-Branchville-AL-35120/89672438_zpid/		0	2
											5.333333333	Auction	from $500			"263 Twin Pines Dr, Alpine, AL35014"	3	2	1983	1996	32670	Auction.com	http://www.zillow.com/homedetails/263-Twin-Pines-Dr-Alpine-AL-35014/94820695_zpid/		0	3
								0	1		7.333333333	House For Sale	250000	170000		"8211 Camille Dr SE, Huntsville, AL35802"	3	2	2633	1960	37026	Legend Realty	http://www.zillow.com/homedetails/8211-Camille-Dr-SE-Huntsville-AL-35802/92082981_zpid/		13	34
								0			7.666666667	House For Sale	194900	177000		"26471 Augustine Dr, Daphne, AL36526"	3	2	1658	2012	"1,110"	Bellator Real Estate & Dev. Daphne	http://www.zillow.com/homedetails/26471-Augustine-Dr-Daphne-AL-36526/120114870_zpid/		0	0
			1					0			4.666666667	Condo For Sale	98900	100000		"75 Lee Road 993 # 1, Smiths Station, AL36877"	3	2	1519	1995		"Keller Williams - Columbus, GA"	http://www.zillow.com/homedetails/75-Lee-Road-993-1-Smiths-Station-AL-36877/2104385051_zpid/		0	2
		1		1				0		1	9	House For Sale	250000	189000		"2602 Poincianna St SW, Huntsville, AL35801"	3	2	1783	1941	"8,712"	"Rosenblum Realty, Inc."	http://www.zillow.com/homedetails/2602-Poincianna-St-SW-Huntsville-AL-35801/92102869_zpid/		20	47
				1				0	0		5	House For Sale	109900	82000		"211 Beirne Ave NW, Huntsville, AL35801"	3	2	1425	1985	"9,583"	Amanda Howard Real Estate	http://www.zillow.com/homedetails/211-Beirne-Ave-NW-Huntsville-AL-35801/92159939_zpid/		29	54
											6	House For Sale	165000	181000		"2805 Dunbarton Ct SW, Decatur, AL35603"	3	2	1862		11325.6	RE/MAX Platinum	http://www.zillow.com/homedetails/2805-Dunbarton-Ct-SW-Decatur-AL-35603/109620821_zpid/		0	23
								0			9	House For Sale	129900	125000		"2007 Hackberry Grn SE, Huntsville, AL35803"	3	2	1467	1975	11761.2	"Rise Real Estate, Inc."	http://www.zillow.com/homedetails/2007-Hackberry-Grn-SE-Huntsville-AL-35803/92165165_zpid/		0	13
1		1	1	1	1	6		0	9	1	7.333333333	House For Sale	289900	138000		"123 Plainview Dr, Rogersville, AL35652"	3		2150	2000	914760	"CAPSTONE REAL ESTATE SERVICES, INC."	http://www.zillow.com/homedetails/123-Plainview-Dr-Rogersville-AL-35652/67129801_zpid/		0	0
		1	1	1		1		0	0	1	4	House For Sale	169000	118000		"414 Owen Ave, Bessemer, AL35020"	5	4	3424	1900	20473.2	Realty South-The Fred Smith Group	http://www.zillow.com/homedetails/414-Owen-Ave-Bessemer-AL-35020/1049689_zpid/		0	40
												House For Sale	119900	98000		"1930 Woodvalley Ct, Semmes, AL36575"	3	2	1422	1997	32670	The Cummings Company	http://www.zillow.com/homedetails/1930-Woodvalley-Ct-Semmes-AL-36575/50976464_zpid/		0	0
1		1						0	3	1	6.666666667	House For Sale	379900	335000		"25 County Road 951, Crane Hill, AL35053"	3	2	2000	2004	35719.2	Lake Homes Realty	http://www.zillow.com/homedetails/25-County-Road-951-Crane-Hill-AL-35053/2104392324_zpid/		0	0
1	1	1						0	0		6	House For Sale	329900	303000		"270 Rock Shore Point Rd, Arley, AL35541"	3	2	1556		43560	Lake Homes Realty	http://www.zillow.com/homedetails/270-Rock-Shore-Point-Rd-Arley-AL-35541/2104392326_zpid/		0	0
1	1	1	1					0	2		5	House For Sale	149900	130000		"202 Porter Cir, Sylacauga, AL35150"	3	2	1955	1955	13939.2	Atkinson Real Estate LLC	http://www.zillow.com/homedetails/202-Porter-Cir-Sylacauga-AL-35150/76060347_zpid/		0	35
1		1	1					0	3		5	House For Sale	109900	106000		"821 Cherokee Dr, Sylacauga, AL35150"	3	2		1900	19166.4	Atkinson Real Estate LLC	http://www.zillow.com/homedetails/821-Cherokee-Dr-Sylacauga-AL-35150/2119215547_zpid/		0	22
1	1		1					0	2	1	3.333333333	House For Sale	450000			"160 Route 1, Rockford, AL35136"	4	2	2719		1742400	Bingham Holdings LLC dba Real Estate Associates	http://www.zillow.com/homedetails/160-Route-1-Rockford-AL-35136/2104392755_zpid/		0	0
	1			1		8		0		1	8.333333333	House For Sale	198000	300000		"3825 Pelham Dr, Mobile, AL36619"	5	3	4335	1983			http://www.zillow.com/homedetails/3825-Pelham-Dr-Mobile-AL-36619/51050304_zpid/		0	0
	1			1		6		0	4	1	5.666666667	Foreclosure	182500	188000		"1216 Hillcrest Xing W, Mobile, AL36695"	3	2	1898	1994			http://www.zillow.com/homedetails/1216-Hillcrest-Xing-W-Mobile-AL-36695/51000139_zpid/		0	25
	1			1		7		0	0	1	4	Foreclosure	124900	140000		"1967 Summer Place Dr W, Mobile, AL36618"	3	2	1963	1995			http://www.zillow.com/homedetails/1967-Summer-Place-Dr-W-Mobile-AL-36618/50983763_zpid/		0	4
											6.333333333	House For Sale	30000			"374 Fredonia St, Mobile, AL36607"	2	1				Better Homes and Gardens Real Estate Generations	http://www.zillow.com/homedetails/374-Fredonia-St-Mobile-AL-36607/2104394179_zpid/		0	52
				1		6		0	0		8.333333333	House For Sale	109900	92000		"9420 Copperfield Ct W, Mobile, AL36608"	3	2	1392	1987	"6,969"	Buyers and Sellers Realty	http://www.zillow.com/homedetails/9420-Copperfield-Ct-W-Mobile-AL-36608/50979541_zpid/		0	26
												House For Sale	79999	55000		"445 Plaza Dr, Birmingham, AL35235"	3	3		1950	23522.4	RE/MAX MarketPlace	http://www.zillow.com/homedetails/445-Plaza-Dr-Birmingham-AL-35235/899854_zpid/		0	16
								0			8.333333333	House For Sale	135000	163000		"2201 Buckingham Dr SW, Huntsville, AL35803"	4	2	1998	1965	19602	Legend Realty	http://www.zillow.com/homedetails/2201-Buckingham-Dr-SW-Huntsville-AL-35803/92105977_zpid/		0	20
			1					0			6.666666667	Foreclosure	77900	132000		"895 Carpenter Rd, Newton, AL36352"	3	2	2076	1900	26136	Homepath	http://www.zillow.com/homedetails/895-Carpenter-Rd-Newton-AL-36352/76008466_zpid/		0	0
											8.333333333	Condo For Sale	169900	204000		"23094 Perdido Beach Blvd APT 303, Orange Beach, AL36561"	2	2		1996		RE/MAX of Orange Beach - AL	http://www.zillow.com/homedetails/23094-Perdido-Beach-Blvd-APT-303-Orange-Beach-AL-36561/2104398299_zpid/		0	15
											8.333333333	Condo For Sale	84900	135000		"1701 E 1st St UNIT 311, Gulf Shores, AL36542"	2	2	1033	2007			http://www.zillow.com/homedetails/1701-E-1st-St-UNIT-311-Gulf-Shores-AL-36542/2104398298_zpid/		0	59
1			1					0			3	House For Sale	76900	70000		"1101 S Alice St, Dothan, AL36301"	3		1537	1963	13068	LEE WHITMAN	http://www.zillow.com/homedetails/1101-S-Alice-St-Dothan-AL-36301/76016837_zpid/		0	48
1			1		1	6		0	0		4	House For Sale	49900	104000		"1876 Gatewood Dr, Montgomery, AL36106"	3	2	1670	1967	17859.6	Intervest Realty Group	http://www.zillow.com/homedetails/1876-Gatewood-Dr-Montgomery-AL-36106/72806580_zpid/		0	28
				1		6		0			2.666666667	House For Sale	89900	91000		"4520 1st Pl NE, Tuscaloosa, AL35404"	3	2	1267	1982	14810.4	Integrity Real Estate & Development	http://www.zillow.com/homedetails/4520-1st-Pl-NE-Tuscaloosa-AL-35404/83337856_zpid/		0	0
		1	1					0	1		8.666666667	House For Sale	340000			"144 Holbrook Dr, Huntsville, AL35806"	4	3	3300	2003	18295.2	"Huntsville - WEICHERT, REALTORS  - The Space Place"	http://www.zillow.com/homedetails/144-Holbrook-Dr-Huntsville-AL-35806/92085772_zpid/		0	0
1	1	1	1	1	1	7		0	0	1	5.666666667	House For Sale	137500	127000		"60 S Lafayette St, Mobile, AL36604"	2	1	1626			The Cummings Company LLC	http://www.zillow.com/homedetails/60-S-Lafayette-St-Mobile-AL-36604/51022685_zpid/		0	64
1		1	1			9					5.666666667	House For Sale	150000	157000		"214 Harold Murphy Dr, Madison, AL35756"	3	2	1736	2011	"6,629"	Bill Ward Real Estate Team	http://www.zillow.com/homedetails/214-Harold-Murphy-Dr-Madison-AL-35756/113198087_zpid/		0	2
1	1		1	1		5		0	1	1	8.333333333	House For Sale	184900	151000		"401 Lakeview Dr, Mobile, AL36695"	5	3	2185	1993		"BERKSHIRE HATHAWAY HOMESERVICES COOPER & CO.,INC."	http://www.zillow.com/homedetails/401-Lakeview-Dr-Mobile-AL-36695/50988716_zpid/		0	39
		1						0	2		3	House For Sale	155000	129000		"316 Saddlegate Dr NW, Huntsville, AL35806"	3	2	1435	2011	"6,534"	Madison Metro Realty LLC dba Keller Williams Madison	http://www.zillow.com/homedetails/316-Saddlegate-Dr-NW-Huntsville-AL-35806/113200005_zpid/		0	7
											4.666666667	Lot/Land For Sale	12000			"Woodhaven Dr, Pinson, AL35126"					39204	Harris Doyle Properties	http://www.zillow.com/homedetails/Woodhaven-Dr-Pinson-AL-35126/2104403655_zpid/		0	6
				1							5.666666667	Lot/Land For Sale	18000			"2107 Fulton Rd, Coalburg, AL35068"				1930	26571.6	Harris Doyle Properties	http://www.zillow.com/homedetails/2107-Fulton-Rd-Coalburg-AL-35068/914808_zpid/		0	22
											4	Lot/Land For Sale	246000			"7224 Coleman Rd, Morris, AL35116"					3571920	Harris Doyle Properties	http://www.zillow.com/homedetails/7224-Coleman-Rd-Morris-AL-35116/2106873623_zpid/		0	0
1	1	1		1		7		0	4		8.666666667	Townhouse For Sale	225000	292000		"60 Hawthorn St, Birmingham, AL35242"	3			2001	"3,485"		http://www.zillow.com/homedetails/60-Hawthorn-St-Birmingham-AL-35242/55778617_zpid/		0	49
